TIMESTAMP,U10,V10,U100,V100,POWER
20180201 01:00,9.60919,4.04354,12.6693,5.03529,0.876350972805856
20180201 02:00,9.57399,3.77546,12.8291,4.84658,0.9215145927721179
20180201 03:00,9.07057,3.79365,12.092,4.75025,0.8953795358218549
20180201 04:00,8.03763,4.81464,11.0656,6.149769999999999,0.8980160618238421
20180201 05:00,8.128739999999999,5.1329400000000005,11.1379,6.57495,0.8629743370070849
20180201 06:00,7.9042,5.416580000000001,10.8287,6.98418,0.846178169022311
20180201 07:00,8.07879,5.61866,11.099,7.2423,0.711014559154295
20180201 08:00,8.03815,5.049180000000001,10.9418,6.45821,0.8118319087632309
20180201 09:00,7.55461,5.38627,10.3762,6.8798699999999995,0.8796990563202121
20180201 10:00,7.53758,6.4999199999999995,10.3519,8.26113,0.906301229435222
20180201 11:00,7.362889999999999,7.52922,10.0353,9.634210000000001,0.911032123324852
20180201 12:00,6.9070800000000006,8.165339999999999,9.51585,10.5489,0.9271687716478059
20180201 13:00,6.54094,8.78784,9.020480000000001,11.454,0.935807410763538
20180201 14:00,6.47945,9.575510000000001,9.03917,12.6255,0.948222329994932
20180201 15:00,4.6962,9.866530000000001,7.02159,13.1904,0.954585274727951
20180201 16:00,3.98925,10.3592,6.2029,13.8968,0.9423459454108821
20180201 17:00,3.56166,9.04766,5.557580000000001,11.9403,0.8857644152738381
20180201 18:00,4.22968,6.42474,6.669980000000001,8.005410000000001,0.7708334219901569
20180201 19:00,5.13588,2.99233,7.33372,3.0138599999999998,0.6951074112178671
20180201 20:00,6.1455400000000004,-0.48005699999999996,8.044139999999999,-1.38032,0.7046171420969031
20180201 21:00,6.28822,-2.45835,7.994910000000001,-3.8253,0.663764925852804
20180201 22:00,5.81381,-4.83327,7.277769999999999,-6.616210000000001,0.754264506173104
20180201 23:00,4.73639,-5.98631,6.06237,-7.76162,0.728340814350258
20180202 00:00,3.10595,-6.555280000000001,3.9003400000000004,-8.22608,0.6753312190462301
20180202 01:00,3.3522199999999995,-6.261769999999999,4.215330000000001,-7.98459,0.619174572266053
20180202 02:00,2.54196,-6.52886,3.1471400000000003,-8.39772,0.545197848648473
20180202 03:00,1.0522799999999999,-6.0184,0.9527979999999999,-7.89605,0.588602402549505
20180202 04:00,-0.704288,-6.4029,-1.06655,-7.93725,0.42854189519853003
20180202 05:00,-2.45438,-6.86455,-3.09769,-8.5641,0.308094083987906
20180202 06:00,-3.6404199999999998,-8.58137,-4.774719999999999,-10.9009,0.284664216155563
20180202 07:00,-3.27612,-8.78509,-4.78383,-11.776,0.601625585488146
20180202 08:00,-3.75786,-10.1215,-5.2788900000000005,-13.1881,0.634374322001949
20180202 09:00,-4.30454,-10.0799,-6.18139,-13.2393,0.6698185526556429
20180202 10:00,-4.6544300000000005,-8.021519999999999,-6.67793,-10.564,0.6900857680846
20180202 11:00,-4.40224,-7.46983,-5.98995,-9.31687,0.5984111473517171
20180202 12:00,-3.68155,-7.56446,-4.94038,-9.26521,0.49746171441017406
20180202 13:00,-3.7843,-7.44729,-4.99504,-9.07301,0.491045133055785
20180202 14:00,-3.21529,-6.817360000000001,-4.22785,-8.25106,0.6620490532291129
20180202 15:00,-2.60642,-6.65785,-3.36426,-8.00971,0.5721098076446209
20180202 16:00,-2.73693,-6.590889999999999,-3.53796,-8.06188,0.40801782871884396
20180202 17:00,-3.0082,-6.0546,-3.83172,-7.5041899999999995,0.42347486632634496
20180202 18:00,-3.19216,-5.71499,-4.02265,-7.02032,0.38442655248864205
20180202 19:00,-3.0731,-5.87962,-3.8733400000000002,-7.24471,0.40937873477149
20180202 20:00,-4.38091,-4.69685,-5.49942,-5.97529,0.433594496363303
20180202 21:00,-3.34364,-4.57121,-4.2783,-5.7289,0.151904319093779
20180202 22:00,-3.4971699999999997,-4.72096,-4.34323,-6.02588,0.137349029174608
20180202 23:00,-3.4714099999999997,-4.52894,-4.29831,-5.78784,0.19969599229336102
20180203 00:00,-3.0558400000000003,-4.17167,-3.75085,-5.34091,0.14288725074039302
20180203 01:00,-3.1520099999999998,-3.54863,-3.6373699999999998,-4.36382,0.14088789955062
20180203 02:00,-3.3549800000000003,-2.91321,-3.9087,-3.6465199999999998,0.09559658878473401
20180203 03:00,-2.99337,-3.16513,-3.4123900000000003,-3.97175,0.146641294373835
20180203 04:00,-2.97649,-4.0081,-3.4649900000000002,-4.9935,0.10733852950208199
20180203 05:00,-3.3965699999999996,-4.05501,-4.02606,-5.1517,0.18527518373589702
20180203 06:00,-3.49051,-3.7778300000000002,-4.13561,-4.703530000000001,0.16121357437464903
20180203 07:00,-3.4540300000000004,-3.25818,-4.18412,-4.29927,0.0572653549380018
20180203 08:00,-3.0939099999999997,-3.20487,-3.8391300000000004,-4.41309,0.0326245172639083
20180203 09:00,-3.2948800000000005,-3.85784,-4.0277,-4.99669,0.00654635034968523
20180203 10:00,-3.2955699999999997,-4.135280000000001,-3.8658300000000003,-4.97352,0.0633485764242755
20180203 11:00,-3.69063,-4.52325,-4.33336,-5.30633,0.0671548864674035
20180203 12:00,-3.27677,-4.60271,-3.80999,-5.45606,0.0419014823913127
20180203 13:00,-2.96278,-5.21499,-3.40646,-6.16734,0.0334032649347651
20180203 14:00,-3.15652,-5.18096,-3.62972,-6.10046,0.132933883678798
20180203 15:00,-3.39014,-4.5909699999999996,-3.9224300000000003,-5.4624,0.11863642014718401
20180203 16:00,-3.11922,-4.460319999999999,-3.6529199999999995,-5.46406,0.16227178599171202
20180203 17:00,-3.09004,-5.18732,-3.6469699999999996,-6.54727,0.16864679476124897
20180203 18:00,-3.2713200000000002,-5.75167,-3.9211300000000002,-7.224019999999999,0.14655815165998903
20180203 19:00,-3.50832,-6.06046,-4.246569999999999,-7.631289999999999,0.29578464191382503
20180203 20:00,-3.6753699999999996,-6.5564,-4.4734,-8.32296,0.38857702791115395
20180203 21:00,-3.1947900000000002,-7.2897300000000005,-3.9397900000000003,-9.13527,0.49721427544419
20180203 22:00,-3.8154,-7.62082,-4.91455,-9.6517,0.479189909322299
20180203 23:00,-4.13385,-7.878439999999999,-5.49961,-10.2916,0.635296172782552
20180204 00:00,-3.58681,-8.7266,-4.823180000000001,-11.2519,0.592847174618546
20180204 01:00,-3.44754,-8.79032,-4.8087599999999995,-11.3698,0.62898876914581
20180204 02:00,-4.63863,-8.93857,-6.24894,-11.4761,0.550510907438685
20180204 03:00,-4.81334,-8.415519999999999,-6.540690000000001,-10.8466,0.503054919110138
20180204 04:00,-5.54772,-8.063130000000001,-7.4079999999999995,-10.3195,0.538398768324548
20180204 05:00,-5.00491,-7.856510000000001,-6.754910000000001,-10.031,0.475533285190092
20180204 06:00,-4.72844,-8.10795,-6.36578,-10.3504,0.62780303520185
20180204 07:00,-4.84965,-7.870660000000001,-6.483619999999999,-10.0367,0.528361858277451
20180204 08:00,-5.17931,-7.36517,-6.93279,-9.41083,0.390395144663496
20180204 09:00,-5.1287,-7.34793,-6.66087,-9.16774,0.3932405450515661
20180204 10:00,-5.62333,-6.890639999999999,-7.108169999999999,-8.379010000000001,0.46809371979832104
20180204 11:00,-5.6500900000000005,-6.52067,-7.048939999999999,-7.88351,0.42296038252229495
20180204 12:00,-5.50507,-6.24249,-6.81007,-7.52385,0.385612766957123
20180204 13:00,-5.3975800000000005,-6.08677,-6.69457,-7.319789999999999,0.333626159545172
20180204 14:00,-5.1732,-6.07329,-6.47356,-7.298710000000001,0.42656277210694893
20180204 15:00,-4.53894,-5.90878,-5.7829999999999995,-7.24246,0.274033215304526
20180204 16:00,-4.53028,-5.75617,-5.80675,-7.15257,0.19034937973177699
20180204 17:00,-4.70265,-6.36637,-5.97321,-8.0394,0.173318885619353
20180204 18:00,-4.63087,-6.25369,-6.002619999999999,-7.8898600000000005,0.20967918234214203
20180204 19:00,-5.22371,-5.68334,-6.743510000000001,-7.27528,0.0934968177705493
20180204 20:00,-5.30604,-5.18918,-6.965889999999999,-6.60911,0.18530414716233898
20180204 21:00,-5.0173,-4.913130000000001,-6.67086,-6.29204,0.327831417994782
20180204 22:00,-4.83586,-4.8958900000000005,-6.39762,-6.24644,0.359014233718006
20180204 23:00,-5.34089,-4.21352,-7.04846,-5.34334,0.14733532417400302
20180205 00:00,-5.51981,-3.16454,-7.31752,-3.9337400000000002,0.24752915569066503
20180205 01:00,-4.29884,-3.5869800000000005,-5.71208,-4.50968,0.135555870036316
20180205 02:00,-4.4226,-3.07166,-5.78993,-3.9234400000000003,0.152273029468361
20180205 03:00,-4.54053,-3.11895,-5.92186,-3.95338,0.0836767782105877
20180205 04:00,-4.50833,-3.02448,-5.8695699999999995,-3.7776199999999998,0.0757182148549365
20180205 05:00,-4.36665,-2.27651,-5.706119999999999,-2.8027599999999997,0.0796180760838742
20180205 06:00,-4.22507,-1.50571,-5.5031099999999995,-1.8692400000000002,0.0873834187638941
20180205 07:00,-4.12793,-1.25375,-5.33969,-1.57772,0.138987716188806
20180205 08:00,-4.30388,-1.3251,-5.513240000000001,-1.6442700000000001,0.0847059935908672
20180205 09:00,-4.31525,-1.25777,-5.23123,-1.42804,0.0824576246464246
20180205 10:00,-3.9095800000000005,-0.652528,-4.54524,-0.634346,0.11957495828067999
20180205 11:00,-3.48903,-0.135301,-3.99294,-0.04912469999999999,0.14402189512154
20180205 12:00,-3.01633,-0.171182,-3.4963,-0.172991,0.0538951196496082
20180205 13:00,-2.3818599999999996,-0.09464539999999999,-2.75668,-0.07819279999999999,0.0459245762882247
20180205 14:00,-2.11243,-0.697994,-2.4445,-0.7105020000000001,0.0332094972181061
20180205 15:00,-2.07008,-0.943357,-2.4724,-1.00545,0.0219718301537907
20180205 16:00,-2.37228,-0.8543229999999999,-3.02362,-1.0029299999999999,0.0276751178299007
20180205 17:00,-2.71988,-0.569364,-3.42749,-0.513153,0.0706719874735193
20180205 18:00,-2.7730900000000003,0.0940523,-3.4265199999999996,0.442616,0.10969170966375001
20180205 19:00,-2.74884,0.9213049999999999,-3.35914,1.4159700000000002,0.0790389326734274
20180205 20:00,-3.0704599999999997,1.39964,-3.71918,1.97721,0.0639233903557326
20180205 21:00,-3.06343,1.3060200000000002,-3.5489699999999997,1.73902,0.0427307713024887
20180205 22:00,-2.73025,0.901022,-3.08405,1.27696,0.0391055376279772
20180205 23:00,-2.46838,0.71039,-2.8265599999999997,1.06123,0.0197428659106518
20180206 00:00,-2.53364,0.651346,-2.83906,1.00766,0.0211615144286376
20180206 01:00,-3.07078,1.9401700000000002,-3.6416800000000005,2.49535,0.0410426337816802
20180206 02:00,-3.33129,1.8425900000000002,-3.8981199999999996,2.43093,0.0664294344379944
20180206 03:00,-3.06826,2.00034,-3.5365900000000003,2.57597,0.0744232613439526
20180206 04:00,-3.10961,1.80655,-3.6716800000000003,2.43094,0.109642067871889
20180206 05:00,-3.54152,1.54845,-4.11757,2.18032,0.0833654953966298
20180206 06:00,-3.5784300000000004,1.3505200000000002,-4.1908199999999995,1.97848,0.116292924635243
20180206 07:00,-3.68462,1.7477,-4.39925,2.41878,0.121640308675344
20180206 08:00,-3.29037,2.3807400000000003,-3.86173,3.13408,0.171639208942368
20180206 09:00,-3.24445,2.69398,-3.62779,3.20369,0.12377884384348199
20180206 10:00,-2.86709,2.9969900000000003,-3.15873,3.4758699999999996,0.0735187295420945
20180206 11:00,-2.52772,3.8325400000000003,-2.79452,4.39872,0.0381899650324867
20180206 12:00,-2.2440900000000004,4.11416,-2.4679599999999997,4.73745,0.0108783240094626
20180206 13:00,-1.94671,4.74167,-2.24602,5.48615,0.0136948109927953
20180206 14:00,-2.36039,4.73233,-2.6523,5.5309800000000005,0.0793420125687627
20180206 15:00,-3.14368,4.87004,-3.54452,5.76926,0.0269008552975109
20180206 16:00,-3.94349,4.51021,-4.595619999999999,5.59968,0.0221564058455545
20180206 17:00,-4.15405,2.60508,-4.8946,3.66307,0.0203697370441724
20180206 18:00,-3.5133900000000002,0.593232,-4.2843,1.47506,0.0220892736060266
20180206 19:00,-3.4306400000000004,0.0864925,-4.02072,0.891236,0.0382431058754961
20180206 20:00,-3.25592,0.38205900000000004,-3.0491200000000003,1.11598,0.0467648302543947
20180206 21:00,-1.92363,1.1165100000000001,-0.9223600000000001,1.5078799999999999,0.11940668370870999
20180206 22:00,-0.49504899999999996,2.6089900000000004,0.304235,3.0685700000000002,0.217001965885401
20180206 23:00,1.2457,3.65185,1.87011,4.5484,0.245669164954029
20180207 00:00,3.50474,4.44874,4.57388,5.4782,0.32555509951832695
20180207 01:00,2.1267099999999997,2.6678900000000003,2.72193,3.06893,0.43350188430258707
20180207 02:00,2.56584,2.54487,3.3048800000000003,3.03145,0.45452124362071095
20180207 03:00,3.20135,2.75983,4.07606,3.2847,0.43664547888445704
20180207 04:00,3.6092199999999997,2.17597,4.62087,2.5976,0.42075586354682104
20180207 05:00,3.1617599999999997,3.0487599999999997,4.12254,3.70609,0.446780661114788
20180207 06:00,3.13272,4.0984300000000005,4.021319999999999,5.11094,0.39664166868489603
20180207 07:00,3.2554,4.228619999999999,4.14543,5.26225,0.31621446061328495
20180207 08:00,3.23189,4.59701,4.16756,5.75622,0.313323748761852
20180207 09:00,3.55128,4.46507,4.35211,5.32696,0.261553184902986
20180207 10:00,3.75921,4.44952,4.50347,5.20881,0.47104255685990704
20180207 11:00,4.4606,3.6206,5.2470300000000005,4.202380000000001,0.568493154897306
20180207 12:00,4.86566,3.06569,5.8186800000000005,3.5806400000000003,0.413461695616799
20180207 13:00,5.6919699999999995,2.98684,6.766830000000001,3.52578,0.34975988360008897
20180207 14:00,5.4057900000000005,2.52889,6.44177,3.01511,0.42586837732938
20180207 15:00,4.70025,2.41617,5.86613,2.87557,0.48305874367295004
20180207 16:00,4.5307699999999995,2.08449,6.15446,2.51468,0.453599654438454
20180207 17:00,4.96515,2.49254,6.55156,3.0350900000000003,0.506682447410571
20180207 18:00,4.34238,2.94943,6.05607,3.5340300000000004,0.563535262223545
20180207 19:00,4.324990000000001,3.27172,6.3162,4.15709,0.543898846077705
20180207 20:00,5.19313,2.75209,7.4539100000000005,3.50483,0.6174398435362211
20180207 21:00,5.72403,2.63639,7.810169999999999,3.38679,0.524890949393959
20180207 22:00,4.7344,2.8571,6.81255,3.63825,0.475845807992049
20180207 23:00,5.3221099999999995,2.46263,7.1789,3.24735,0.516874262528113
20180208 00:00,5.62881,2.77363,7.26329,3.5381699999999996,0.648762795567744
20180208 01:00,4.9600599999999995,5.79638,6.711130000000001,7.414210000000001,0.696012724776337
20180208 02:00,4.93181,6.3735599999999994,6.74682,8.28336,0.7347718498590592
20180208 03:00,4.7434,6.53085,6.38933,8.444989999999999,0.756181559617195
20180208 04:00,4.61629,6.837089999999999,6.18273,8.777460000000001,0.521823396486876
20180208 05:00,4.3017199999999995,7.23588,5.70215,9.25822,0.8176777834112758
20180208 06:00,4.09521,7.11056,5.41975,9.08474,0.8127164135410551
20180208 07:00,4.32204,6.81699,5.70555,8.62418,0.8154503926208609
20180208 08:00,4.62531,6.828469999999999,5.99175,8.50501,0.7782241012130071
20180208 09:00,4.38965,6.880839999999999,5.636819999999999,8.46685,0.8092188268693221
20180208 10:00,3.37065,7.37931,4.46786,9.00484,0.799495996073839
20180208 11:00,2.8866,8.03582,3.89015,9.93923,0.778364481222458
20180208 12:00,2.43927,8.361839999999999,3.35734,10.4523,0.7999372203660999
20180208 13:00,1.6821700000000002,8.655489999999999,2.44605,10.8471,0.767246952946334
20180208 14:00,1.45933,8.88425,2.11847,11.0968,0.802456044902505
20180208 15:00,1.7315599999999998,8.91804,2.36548,11.2884,0.7576378388130429
20180208 16:00,1.63068,8.57017,2.3338099999999997,10.8525,0.7457963846891229
20180208 17:00,1.5210299999999999,8.90133,2.1603,11.3228,0.711798095548637
20180208 18:00,2.2084799999999998,8.9241,3.02008,11.3437,0.7249112488982341
20180208 19:00,2.29921,8.81413,3.1068700000000002,11.2773,0.8141421586044251
20180208 20:00,2.4398,8.51967,3.3703,10.9404,0.8399947060094279
20180208 21:00,0.9715969999999999,8.79086,1.5940299999999998,11.4475,0.8383507930908801
20180208 22:00,-0.11438699999999999,8.87707,0.177726,11.7533,0.6820302807401989
20180208 23:00,-0.8578040000000001,9.44341,-0.780496,12.5676,0.8752224208030258
20180209 00:00,-0.569706,9.30706,-0.44393999999999995,12.6004,0.9083718437175781
20180209 01:00,-2.1146599999999998,9.53836,-2.44855,12.8292,0.91814853187492
20180209 02:00,-2.39312,9.803180000000001,-2.8389900000000003,13.1054,0.9182201606722149
20180209 03:00,-2.7868,9.586689999999999,-3.29134,12.8809,0.916281613838797
20180209 04:00,-3.2036700000000002,9.88128,-3.8359400000000003,13.2672,0.9254013196946591
20180209 05:00,-3.67047,9.569180000000001,-4.461869999999999,13.0239,0.9137305405310179
20180209 06:00,-3.10712,9.64638,-3.8229300000000004,12.9331,0.916596751116336
20180209 07:00,-3.2850699999999997,8.97461,-3.9307199999999995,11.9851,0.901024291518458
20180209 08:00,-3.63175,8.78711,-4.38866,11.7029,0.916956904454959
20180209 09:00,-3.99364,8.74483,-4.85609,11.3709,0.92173386440054
20180209 10:00,-3.35592,9.121939999999999,-4.0163199999999994,11.696,0.8770245582886441
20180209 11:00,-2.36366,9.31778,-2.72877,11.7577,0.900972722053589
20180209 12:00,-2.08763,9.09357,-2.33576,11.4688,0.9020070118178771
20180209 13:00,-2.8732900000000003,8.728589999999999,-3.30721,10.9372,0.9031789223011909
20180209 14:00,-3.90845,8.27254,-4.70699,10.5228,0.897175351747485
20180209 15:00,-3.9122800000000004,8.17727,-4.82017,10.6115,0.8740867720882879
20180209 16:00,-3.99306,7.987760000000001,-5.07649,10.5633,0.8717330345003539
20180209 17:00,-4.16175,7.660239999999999,-5.35656,10.2567,0.853626598018698
20180209 18:00,-3.89699,7.59477,-5.03596,10.1219,0.87209313310193
20180209 19:00,-4.041519999999999,7.5174,-5.17705,10.0659,0.8342703702243531
20180209 20:00,-3.72595,7.54259,-4.68229,10.1329,0.7856466277217321
20180209 21:00,-2.99492,7.3424,-3.7316800000000003,9.778839999999999,0.836379714199422
20180209 22:00,-2.9821,6.59995,-3.62647,8.94022,0.7768207956246601
20180209 23:00,-3.2090099999999997,5.74659,-3.8105800000000003,7.986789999999999,0.750282963487907
20180210 00:00,-3.25223,5.32151,-3.78935,7.51483,0.7313406172265581
20180210 01:00,-2.78882,6.616680000000001,-3.32056,8.64971,0.730799477642978
20180210 02:00,-3.1959400000000002,6.5113199999999996,-3.7785300000000004,8.54882,0.762805656157583
20180210 03:00,-3.19537,6.51711,-3.73536,8.6351,0.739480452111523
20180210 04:00,-2.92096,6.7165300000000006,-3.34021,8.84605,0.756353899842506
20180210 05:00,-3.0127599999999997,7.17019,-3.4780699999999998,9.37987,0.76564782495772
20180210 06:00,-2.1896,7.898339999999999,-2.56465,10.0336,0.719701716619462
